itemid,ele
sel.01.ch01.211125.180355.84..wav,1
sel.02.ch01.211125.180359.65..wav,1
sel.03.ch02.211125.180355.52..wav,1
sel.04.ch02.211125.180359.78..wav,1
sel.05.ch01.211125.175940.95..wav,1
sel.06.ch01.211125.175945.24..wav,1
sel.07.ch01.211125.175950.93..wav,1
sel.08.ch01.211125.175955.19..wav,1
sel.09.ch02.211125.175941.12..wav,1
sel.10.ch02.211125.175945.65..wav,1
sel.11.ch02.211125.175951.01..wav,1
sel.12.ch02.211125.175955.31..wav,1
sel.13.ch01.211125.180011.38..wav,1
sel.14.ch02.211125.180011.18..wav,1
sel.15.ch01.211125.180050.00..wav,1
sel.16.ch02.211125.180049.95..wav,1
sel.05.ch01.220110.234048.33..wav,1
sel.06.ch02.220110.234048.49..wav,1
sel.01.ch01.220118.013625.39..wav,1
sel.02.ch01-02.220203.184602.89..wav,1
sel.24.ch01-02.220203.184555.78..wav,1
sel.25.ch01-02.220203.184555.74..wav,1
selection.wav,1
sel.01.ch01-02.220226.131953.41..wav,1
sel.02.ch01-02.220226.131953.50..wav,1
sel.03.ch01-02.220226.132141.02..wav,1
sel.04.ch01-02.220226.132141.20..wav,1
sel.01.ch01.220119.155036.12..wav,1
sel.01.ch01.220203.174948.00..wav,1
sel.01.ch01.220203.233913.47..wav,1
sel.01.ch01.220204.004302.06..wav,1
sel.01.ch01.220204.194520.86..wav,1
sel.01.ch01.220206.022701.10..wav,1
sel.01.ch01.220207.001315.29..wav,1
sel.01.ch01.220207.233722.78..wav,1
sel.01.ch01.220208.005056.60..wav,1
sel.01.ch01.220210.002512.24..wav,1
sel.01.ch01.220213.000743.84..wav,1
sel.01.ch01.220214.114206.81..wav,1
sel.01.ch01.220216.230101.14..wav,1
sel.01.ch01.220222.171558.32..wav,1
sel.01.ch01.220223.180226.60..wav,1
sel.01.ch01.220223.183152.53..wav,1
sel.01.ch01.220224.005924.41..wav,1
sel.01.ch01.220224.014430.66..wav,1
sel.01.ch01.220304.000058.54..wav,1
sel.01.ch01.220304.002238.65..wav,1
sel.01.ch01.220307.223948.82..wav,1
sel.01.ch01.220307.232841.92..wav,1
sel.01.ch01.220307.233210.71..wav,1
sel.01.ch01.220313.002639.65..wav,1
sel.01.ch01.220313.005126.54..wav,1
sel.01.ch01.220316.182950.72..wav,1
sel.01.ch01.220316.232352.80..wav,1
sel.01.ch01.220316.235701.06..wav,1
sel.01.ch01.220317.011244.17..wav,1
sel.01.ch01.220317.013707.76..wav,1
sel.01.ch02.220223.004549.44..wav,1
sel.01.ch02.220228.010331.34..wav,1
sel.01.ch02.220307.221001.70..wav,1
sel.01.ch02.220307.234942.59..wav,1
