itemid,poa
19782.wav,0
19797.wav,0
19912.wav,0
19913.wav,0
19938.wav,0
19992.wav,0
19999.wav,0
20000.wav,0
20001.wav,0
20008.wav,0
20011.wav,0
20016.wav,0
20017.wav,0
20018.wav,0
20019.wav,0
20020.wav,0
20021.wav,0
20022.wav,0
20048.wav,0
20049.wav,0
20067.wav,0
20190.wav,0
20191.wav,0
20192.wav,0
20193.wav,0
20194.wav,0
20204.wav,0
20205.wav,0
20206.wav,0
20207.wav,0
20290.wav,0
20291.wav,0
20292.wav,0
20381.wav,0
20384.wav,0
20530.wav,0
20580.wav,0
20692.wav,0
20693.wav,0
20694.wav,0
20695.wav,0
20696.wav,0
20697.wav,0
20698.wav,0
20714.wav,0
20782.wav,0
20784.wav,0
20785.wav,0
20786.wav,0
20787.wav,0
20788.wav,0
20838.wav,0
20988.wav,0
20989.wav,0
21091.wav,0
21106.wav,0
21107.wav,0
21156.wav,0
21245.wav,0
21321.wav,0
21322.wav,0
21421.wav,0
21432.wav,0
21435.wav,0
21601.wav,0
21683.wav,0
21684.wav,0
21704.wav,0
21771.wav,0
21842.wav,0
21888.wav,0
21889.wav,0
21890.wav,0
21891.wav,0
21892.wav,0
21893.wav,0
21894.wav,0
22109.wav,0
22132.wav,0
22133.wav,0
24950.wav,0
38232.wav,0
39924.wav,0
44981.wav,0
55122.wav,0
64486.wav,0
69238.wav,0
70948.wav,0
77649.wav,0
79563.wav,0
81068.wav,0
86729.wav,0
92992.wav,0
101323.wav,0
102553.wav,0
102853.wav,0
104540.wav,0
104656.wav,0
123344.wav,0
124684.wav,0
124698.wav,0
127302.wav,0
132129.wav,0
157473.wav,0
165746.wav,0
195739.wav,0
195862.wav,0
gun14.wav,1
gun15.wav,1
gun16.wav,1
gun17.wav,1
log14.wav,1
log15.wav,1
log16.wav,1
